id,migration,batch
1,2014_10_12_000000_create_users_table,1
2,2014_10_12_100000_create_password_resets_table,1
3,2015_06_04_124835_create_industries_table,1
4,2015_10_15_143830_create_status_table,1
5,2015_12_28_163028_create_clients_table,1
6,2015_12_29_154026_create_invocies_table,1
7,2015_12_29_204031_projects_table,1
8,2015_12_29_204031_tasks_table,1
9,2016_01_10_204413_create_comments_table,1
10,2016_01_18_113656_create_leads_table,1
11,2016_01_23_144854_settings,1
12,2016_01_26_003903_documents,1
13,2016_01_31_211926_invoice_lines_table,1
14,2016_03_21_171847_create_department_table,1
15,2016_03_21_172416_create_department_user_table,1
16,2016_04_06_230504_integrations,1
17,2016_05_21_205532_create_activities_table,1
18,2016_08_26_205017_entrust_setup_tables,1
19,2016_11_04_200855_create_notifications_table,1
20,2017_10_28_131549_create_contacts_table,1
21,2019_05_03_000001_create_customer_columns,1
22,2019_05_03_000002_create_subscriptions_table,1
23,2019_11_29_092917_add_vat_and_currency,1
24,2019_11_29_111929_add_invoice_number_to_invoice,1
25,2019_12_09_201950_create_mails_table,1
26,2019_12_19_200049_add_billing_integration_id_to_invoices,1
27,2020_01_06_203615_create_payments_table,1
28,2020_01_10_120239_create_credit_notes_table,1
29,2020_01_10_121248_create_credit_lines_table,1
30,2020_01_28_195156_add_language_options,1
31,2020_02_20_192015_alter_leads_table_support_qualified,1
32,2020_03_30_163030_create_appointments_table,1
33,2020_04_06_075838_create_business_hours_table,1
34,2020_04_08_070242_create_absences_table,1
35,2020_05_09_113503_add_cascading_for_tables,1
36,2020_09_29_173256_add_soft_delete_to_tables,1
37,2021_01_09_102659_add_cascading_for_appointments,1
38,2021_02_10_153102_create_offers_table,1
39,2021_02_11_161257_alter_invoices_table_add_source,1
40,2021_02_11_162602_create_products_table,1
41,2021_03_02_132033_alter_comments_table_add_long_text,1
42,2021_04_15_073908_remove_qualified_from_leads,1
