id,external_id,name,display_name,description,grouping,created_at,updated_at
1,,payment-create,"Add payment","Be able to add a new payment on a invoice",payment,"2025-03-22 05:00:05","2025-03-22 05:00:05"
2,,payment-delete,"Delete payment","Be able to delete a payment",payment,"2025-03-22 05:00:05","2025-03-22 05:00:05"
3,,calendar-view,"View calendar","Be able to view the calendar for appointments",appointment,"2025-03-22 05:00:06","2025-03-22 05:00:06"
4,,appointment-create,"Add appointment","Be able to create a new appointment for a user",appointment,"2025-03-22 05:00:06","2025-03-22 05:00:06"
5,,appointment-edit,"Edit appointment","Be able to edit appointment such as times and title",appointment,"2025-03-22 05:00:06","2025-03-22 05:00:06"
6,,appointment-delete,"Delete appointment","Be able to delete an appointment",appointment,"2025-03-22 05:00:06","2025-03-22 05:00:06"
7,,absence-manage,"Manage absences","Be able to manage absences for all users",hr,"2025-03-22 05:00:07","2025-03-22 05:00:07"
8,,absence-view,"View absences","Be able to view absences for all users and see who is absent today on the dashboard",hr,"2025-03-22 05:00:07","2025-03-22 05:00:07"
9,,offer-create,"Add offer","Be able to create an offer",offer,"2025-03-22 05:00:07","2025-03-22 05:00:07"
10,,offer-edit,"Edit offer","Be able to edit an offer",offer,"2025-03-22 05:00:07","2025-03-22 05:00:07"
11,,offer-delete,"Delete offer","Be able to delete an offer",offer,"2025-03-22 05:00:07","2025-03-22 05:00:07"
12,,product-create,"Add product","Be able to create an product",product,"2025-03-22 05:00:08","2025-03-22 05:00:08"
13,,product-edit,"Edit product","Be able to edit an product",product,"2025-03-22 05:00:08","2025-03-22 05:00:08"
14,,product-delete,"Delete product","Be able to delete an product",product,"2025-03-22 05:00:08","2025-03-22 05:00:08"
15,,user-create,"Create user","Be able to create a new user",user,"2025-03-22 05:00:10","2025-03-22 05:00:10"
16,,user-update,"Update user","Be able to update a user's information",user,"2025-03-22 05:00:10","2025-03-22 05:00:10"
17,,user-delete,"Delete user","Be able to delete a user",user,"2025-03-22 05:00:10","2025-03-22 05:00:10"
18,,client-create,"Create client","Permission to create client",client,"2025-03-22 05:00:10","2025-03-22 05:00:10"
19,,client-update,"Update client","Permission to update client",client,"2025-03-22 05:00:10","2025-03-22 05:00:10"
20,,client-delete,"Delete client","Permission to delete client",client,"2025-03-22 05:00:10","2025-03-22 05:00:10"
21,,document-delete,"Delete document","Permission to delete a document associated with a client",document,"2025-03-22 05:00:10","2025-03-22 05:00:10"
22,,document-upload,"Upload document","Be able to upload a document associated with a client",document,"2025-03-22 05:00:10","2025-03-22 05:00:10"
23,,task-create,"Create task","Permission to create task",task,"2025-03-22 05:00:10","2025-03-22 05:00:10"
24,,task-update-status,"Update task status","Permission to update task status",task,"2025-03-22 05:00:10","2025-03-22 05:00:10"
25,,task-update-deadline,"Change task deadline","Permission to update a tasks deadline",task,"2025-03-22 05:00:10","2025-03-22 05:00:10"
26,,can-assign-new-user-to-task,"Change assigned user","Permission to change the assigned user on a task",task,"2025-03-22 05:00:10","2025-03-22 05:00:10"
27,,task-update-linked-project,"Changed linked project","Be able to change the project which is linked to a task",task,"2025-03-22 05:00:10","2025-03-22 05:00:10"
28,,task-upload-files,"Upload files to task","Allowed to upload files for a task",task,"2025-03-22 05:00:10","2025-03-22 05:00:10"
29,,modify-invoice-lines,"Modify invoice lines on a invoice / task","Permission to create and update invoice lines on task, and invoices",invoice,"2025-03-22 05:00:10","2025-03-22 05:00:10"
30,,invoice-see,"See invoices and it's invoice lines","Permission to see invoices on customer, and it's associated task",invoice,"2025-03-22 05:00:10","2025-03-22 05:00:10"
31,,invoice-send,"Send invoices to clients","Be able to set an invoice as send to an customer (Or Send it if billing integration is active)",invoice,"2025-03-22 05:00:10","2025-03-22 05:00:10"
32,,invoice-pay,"Set an invoice as paid","Be able to set an invoice as paid or not paid",invoice,"2025-03-22 05:00:10","2025-03-22 05:00:10"
33,,lead-create,"Create lead","Permission to create lead",lead,"2025-03-22 05:00:10","2025-03-22 05:00:10"
34,,lead-update-status,"Update lead status","Permission to update lead status",lead,"2025-03-22 05:00:10","2025-03-22 05:00:10"
35,,lead-update-deadline,"Change lead deadline","Permission to update a lead deadline",lead,"2025-03-22 05:00:10","2025-03-22 05:00:10"
36,,can-assign-new-user-to-lead,"Change assigned user","Permission to change the assigned user on a lead",lead,"2025-03-22 05:00:10","2025-03-22 05:00:10"
37,,project-create,"Create project","Permission to create project",project,"2025-03-22 05:00:10","2025-03-22 05:00:10"
38,,project-update-status,"Update project status","Permission to update project status",project,"2025-03-22 05:00:10","2025-03-22 05:00:10"
39,,project-update-deadline,"Change project deadline","Permission to update a projects deadline",project,"2025-03-22 05:00:10","2025-03-22 05:00:10"
40,,can-assign-new-user-to-project,"Change assigned user","Permission to change the assigned user on a project",project,"2025-03-22 05:00:10","2025-03-22 05:00:10"
41,,project-upload-files,"Upload files to project","Allowed to upload files for a project",project,"2025-03-22 05:00:10","2025-03-22 05:00:10"
